priority_group,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_datum_cd,huc_cd,huc8_name,parameter_count,parameter_codes,parameter_names,site_web_url
4_molalla-pudding,14200400,"LITTLE ABIQUA CREEK NEAR SCOTTS MILLS, OR",ST,44.95567759,-122.6284199,NAD27,17090009,Molalla-Pudding,1,00060,discharge,https://waterdata.usgs.gov/monitoring-location/14200400/
4_north_santiam,14178610,"BREITENBUSH RIVER BLW BREITENBUSH HOT SPRINGS, OR",ST,44.7779444,-121.9968889,NAD83,17090005,North Santiam,3,"00010,00060,00065","water_temperature,discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14178610/
4_north_santiam,14178470,DEVILS CR ABV CASCADE CR NR BREITENBUSH HOT SPG OR,ST,44.7444722,-121.9347778,NAD83,17090005,North Santiam,2,"00010,00065","water_temperature,gage_height",https://waterdata.usgs.gov/monitoring-location/14178470/
4_north_santiam,14178500,"DEVILS CREEK NEAR BREITENBUSH HOT SPRINGS, OR",ST,44.7775,-121.9696944,NAD83,17090005,North Santiam,2,"00010,00065","water_temperature,gage_height",https://waterdata.usgs.gov/monitoring-location/14178500/
4_north_santiam,14178620,"HILL CREEK NEAR BREITENBUSH HOT SPRINGS, OR",ST,44.75805556,-121.9818333,NAD83,17090005,North Santiam,2,"00010,00065","water_temperature,gage_height",https://waterdata.usgs.gov/monitoring-location/14178620/
4_north_santiam,14178490,"MILL CREEK NEAR BREITENBUSH HOT SPRINGS, OR",ST,44.75891667,-121.9689444,NAD83,17090005,North Santiam,2,"00010,00065","water_temperature,gage_height",https://waterdata.usgs.gov/monitoring-location/14178490/
4_north_santiam,14178440,"ROARING CREEK NEAR BREITENBUSH HOT SPRINGS, OR",ST,44.76630556,-121.927611,NAD83,17090005,North Santiam,2,"00010,00065","water_temperature,gage_height",https://waterdata.usgs.gov/monitoring-location/14178440/
4_north_santiam,14181350,"SARDINE CREEK NEAR NIAGRA, OR",ST,44.7475,-122.2741944,NAD83,17090005,North Santiam,2,"00010,00065","water_temperature,gage_height",https://waterdata.usgs.gov/monitoring-location/14181350/
4_north_santiam,14178480,"SKUNK CREEK NEAR BREITENBUSH HOT SPRINGS, OR",ST,44.7526111,-121.9609722,NAD83,17090005,North Santiam,2,"00010,00065","water_temperature,gage_height",https://waterdata.usgs.gov/monitoring-location/14178480/
4_north_santiam,14178625,"UNNAMED CREEK NEAR BREITENBUSH HOT SPRINGS, OR",ST,44.76038889,-121.9865,NAD83,17090005,North Santiam,2,"00010,00065","water_temperature,gage_height",https://waterdata.usgs.gov/monitoring-location/14178625/
4_north_santiam,14181410,"BIG CLIFF DAM TAILWATER NEAR NIAGARA, OR",ST,44.7514861,-122.2833778,NAD83,17090005,North Santiam,1,00065,gage_height,https://waterdata.usgs.gov/monitoring-location/14181410/
4_north_santiam,444649121594701,BREITENBUSH R BLW BREITENBUSH HOT SPGS NR DETROIT,ST,44.78017778,-121.983175,NAD83,17090005,North Santiam,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/444649121594701/
4_north_santiam,14180510,"DETROIT DAM TAILWATER NEAR DETROIT, OR",ST,44.722,-122.251,NAD83,17090005,North Santiam,1,00065,gage_height,https://waterdata.usgs.gov/monitoring-location/14180510/
4_north_santiam,14178700,"EAST HUMBUG CREEK NEAR DETROIT, OREG.",ST,44.7990107,-122.0589648,NAD27,17090005,North Santiam,1,00060,discharge,https://waterdata.usgs.gov/monitoring-location/14178700/
4_north_santiam,14179100,"FRENCH CREEK NEAR DETROIT, OR",ST,44.76039965,-122.1684099,NAD27,17090005,North Santiam,1,00060,discharge,https://waterdata.usgs.gov/monitoring-location/14179100/
4_north_santiam,444653121571200,"NF BREITENBUSH RIVER BLW NF 4685, NR DETROIT, OR",ST,44.7813472,-121.9533778,NAD83,17090005,North Santiam,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/444653121571200/
4_north_santiam,14181750,"ROCK CREEK NEAR MILL CITY, OR",ST,44.7120665,-122.4275818,NAD27,17090005,North Santiam,1,00060,discharge,https://waterdata.usgs.gov/monitoring-location/14181750/
4_north_santiam,14178430,SF BREITENBUSH RIVER NR BREITENBUSH HOT SPRINGS OR,ST,44.7646944,-121.9268889,NAD83,17090005,North Santiam,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/14178430/
4_south_santiam,14188750,"CRABTREE CREEK NEAR SCIO, OR",ST,44.673139,-122.91925,NAD83,170900060604,South Santiam,3,"00010,00060,00065","water_temperature,discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14188750/
4_south_santiam,14185865,"QUARTZVILLE CREEK BLW GALENA CREEK NR CASCADIA, OR",ST,44.58105556,-122.335,NAD83,17090006,South Santiam,3,"00010,00060,00065","water_temperature,discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14185865/
4_south_santiam,14188610,"SCHAFER CREEK NEAR LACOMB, OR",ST,44.61956728,-122.4659162,NAD27,17090006,South Santiam,3,"00010,00060,00065","water_temperature,discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14188610/
4_south_santiam,14188800,"THOMAS CREEK NEAR SCIO, OR",ST,44.71206687,-122.7700878,NAD27,17090006,South Santiam,3,"00010,00060,00065","water_temperature,discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14188800/
4_south_santiam,14187000,"WILEY CREEK NEAR FOSTER, OR",ST,44.37234769,-122.6231384,NAD27,17090006,South Santiam,3,"00010,00060,00065","water_temperature,discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14187000/
4_south_santiam,443404122240500,"BOULDER CREEK NEAR CASCADIA, OR",ST,44.56785278,-122.4014694,NAD83,17090006,South Santiam,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/443404122240500/
4_south_santiam,443531122203900,"CANAL CREEK ABV UNNAMED TRIB, NR CASCADIA, OR",ST,44.59194167,-122.3442694,NAD83,17090006,South Santiam,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/443531122203900/
4_south_santiam,14186610,"FOSTER DAM TAILWATER AT FOSTER, OR",ST,44.41479444,-122.6713556,NAD83,17090006,South Santiam,1,00065,gage_height,https://waterdata.usgs.gov/monitoring-location/14186610/
4_south_santiam,443317122252600,"FOUR BIT CREEK AT MOUTH, NEAR CASCADIA, OR",ST,44.55458889,-122.4238333,NAD83,17090006,South Santiam,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/443317122252600/
4_south_santiam,14186110,"GREEN PETER DAM TAILWATER NEAR FOSTER, OR",ST,44.4492944,-122.5496667,NAD83,17090006,South Santiam,1,00065,gage_height,https://waterdata.usgs.gov/monitoring-location/14186110/
4_south_santiam,443226122260700,"PANTHER CREEK AT MOUTH, NEAR CASCADIA, OR",ST,44.5404222,-122.4352,NAD83,17090006,South Santiam,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/443226122260700/
4_south_santiam,443253122255000,"QUARTZVILLE CR AT DOGWOOD PICNIC, NR CASCADIA, OR",ST,44.54812778,-122.4306917,NAD83,17090006,South Santiam,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/443253122255000/
4_south_santiam,443342122250200,"QUARTZVILLE CR BLW BOULDER CR, NR CASCADIA, OR  A",ST,44.56157778,-122.417275,NAD83,17090006,South Santiam,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/443342122250200/
4_south_santiam,443340122250500,"QUARTZVILLE CR BLW BOULDER CR, NR CASCADIA, OR  C",ST,44.56118056,-122.4179556,NAD83,17090006,South Santiam,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/443340122250500/
4_south_santiam,443519122225800,"QUARTZVILLE CR BLW YELLOWBOTTOM CR NR CASCADIA, OR",ST,44.5886,-122.3826639,NAD83,17090006,South Santiam,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/443519122225800/
4_south_santiam,443502122240500,"QUARTZVILLE CREEK BLW PACKERS CR, NR CASCADIA, OR",ST,44.58384167,-122.4014028,NAD83,17090006,South Santiam,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/443502122240500/
4_south_santiam,443517122221800,"YELLOWBOTTOM CREEK AT MOUTH, NR CASCADIA, OR",ST,44.588181,-122.371625,NAD83,170900060304,South Santiam,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/443517122221800/
4_south_santiam,443348122244400,"YELLOWSTONE CREEK NEAR MOUTH, NEAR CASCADIA, OR",ST,44.56340278,-122.4122972,NAD83,17090006,South Santiam,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/443348122244400/
4_tualatin,14205400,"EAST FORK DAIRY CREEK NEAR MEACHAM CORNER, OR",ST,45.68233568,-123.069553,NAD27,17090010,Tualatin,3,"00010,00060,00065","water_temperature,discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14205400/
4_tualatin,14205350,"EF DAIRY CR ABV MURTAUGH CR NR MEACHAM CORNER, OR",ST,45.69385556,-123.0700194,NAD83,17090010,Tualatin,3,"00010,00060,00065","water_temperature,discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14205350/
4_tualatin,14206900,"FANNO CREEK AT 56TH AVE, AT PORTLAND, OR",ST,45.4881944,-122.73475,NAD83,17090010,Tualatin,2,"00060,00065","discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14206900/
4_tualatin,14206339,"ROCK CREEK ABOVE BETHANY LAKE, NEAR BETHANY, OR",ST,45.55696389,-122.8752222,NAD83,17090010,Tualatin,2,"00010,00065","water_temperature,gage_height",https://waterdata.usgs.gov/monitoring-location/14206339/
4_tualatin,14206340,"ROCK CREEK BELOW BETHANY LAKE, NEAR BETHANY, OR",ST,45.55566667,-122.8739722,NAD83,17090010,Tualatin,2,"00010,00065","water_temperature,gage_height",https://waterdata.usgs.gov/monitoring-location/14206340/
4_tualatin,142063391,"ROCK CREEK NEAR BETHANY LAKE, NEAR BETHANY, OR",ST,45.55603056,-122.874236,NAD83,17090010,Tualatin,2,"00010,00065","water_temperature,gage_height",https://waterdata.usgs.gov/monitoring-location/142063391/
4_tualatin,14202550,"AYERS CREEK AT NE NORTH VALLEY RD, NR GASTON, OR",ST,45.3793,-123.0960639,NAD83,17090010,Tualatin,1,00060,discharge,https://waterdata.usgs.gov/monitoring-location/14202550/
